MeterID,Type,Name,Location,Multiplier,Threshold,Unit,Notes,LastReading,LastDate
NHA.DIEN.NO.01,Điện,Caddie nữ 01,Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26011158 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.01",,
NHA.DIEN.NO.02,Điện,Caddie nữ 02,Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26010356 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.02",,
NHA.DIEN.NO.03,Điện,Caddie nữ 03,Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26010350 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.03",,
NHA.DIEN.NO.04,Điện,Caddie nữ 04,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.04",,
NHA.DIEN.NO.05,Điện,Caddie nữ 05,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.05",,
NHA.DIEN.NO.06,Điện,Caddie nữ 06,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.06",,
NHA.DIEN.NO.07,Điện,Caddie nữ 07,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.07",,
NHA.DIEN.NO.08,Điện,Caddie nữ 08,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.08",,
NHA.DIEN.NO.09,Điện,Caddie nữ 09,Khu phòng nghỉ caddie,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.09",,
NHA.DIEN.NO.10,Điện,Bếp nam,Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26010290 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.10",,
NHA.DIEN.NO.11,Điện,"Chiếu sáng, bơm",Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26010315 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.11",,
NHA.DIEN.NO.12,Điện,Bình nóng lạnh,Khu phòng nghỉ caddie,1,0,kWh,"Mã sản xuất: 26011284 | Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=NHA.DIEN.NO.12",,
CLH.DIEN.KICHSONG,Điện,Kích sóng VNPT,Khu CLH,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=CLH.DIEN.KICHSONG",,
CLH.DIEN.ATM,Điện,ATM VCB,Khu CLH,1,0,kWh,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=CLH.DIEN.ATM",,
CLH.NUOC.MAI.01,Nước,Đồng hồ nước mái CLH 01/03,Khu CLH,1,0,M3,"Mã sản xuất: 6013775 | Kiểu đo: Cơ học, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=CLH.NUOC.MAI.01",,
CLH.NUOC.MAI.02,Nước,Đồng hồ nước mái CLH 02/03,Khu CLH,1,0,M3,"Mã sản xuất: 6013840 | Kiểu đo: Cơ học, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=CLH.NUOC.MAI.02",,
CLH.NUOC.MAI.03,Nước,Đồng hồ nước mái CLH 03/03,Khu CLH,1,0,M3,"Mã sản xuất: 6013949 | Kiểu đo: Cơ học, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=CLH.NUOC.MAI.03",,
DH_HMI_GK,Nước,ĐH HMI Giếng khoan,,0.003785411784,0,GALLON_US,Kiểu đo: HMI | QR: https://bandien.github.io/scan/meter.html?uid=DH_HMI_GK,,
DH_LAN_TRAI,Nước,ĐH Hồ lán trại,,1,0,M3,Kiểu đo: Cơ học | QR: https://bandien.github.io/scan/meter.html?uid=DH_LAN_TRAI,,
DH_NUOC_MAT,Nước,Đồng hồ nước mặt ngoài sân,,1,0,M3,Kiểu đo: Cơ học | QR: https://bandien.github.io/scan/meter.html?uid=DH_NUOC_MAT,,
HMI_HO_1617,Nước,Bảng HMI đọc chỉ số nước tưới hồ 16-17,,0.003785411784,0,GALLON_US,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=HMI_HO_1617",,
HMI_HO_TRUNG_TAM,Nước,Bảng HMI đọc chỉ số nước tưới hồ trung tâm,,0.003785411784,0,GALLON_US,"Kiểu đo: Điện tử, đọc thủ công | QR: https://bandien.github.io/scan/meter.html?uid=HMI_HO_TRUNG_TAM",,
